"year","pinks","pinks_2","pinks_3","pinks_4","chum","chum_2","chum_3","chum_4","NPGO","NPGO_1","NPGO_2","NPGO_3","NPGO_4","mst","mst_2","SST_2","SST_3","SST_4","SST","SST_cst","SST_cst_2","SST_cst_3","SST_cst_4","av_CFS_min","av_CFS_max","av_CFS_min_1","av_CFS_max_1","seals","seals_3","seals_4"
2001,401.82,466.33,361.27,594.47,133.72,135.54,143.18,131.31,2.0807,1.4736,0.9585,0.2095,-1.4691,64,105,10.1502,10.2868,10.2265,11.143,13.82,14.9,15.4,14.9,1.4191,0.8023,-0.9902,0.4115,18805,29201,18299
2002,382.89,361.27,594.47,344.03,120.62,143.18,131.31,143.56,1.4736,0.9585,0.2095,-1.4691,-0.5499,81,89,10.8103,10.1827,11.1534,10.2319,13.9,15.4,14.9,14.23,-0.9902,0.4115,-0.7708,0.6854,NA,18299,NA
2003,466.33,594.47,344.03,548.77,135.54,131.31,143.56,130.88,0.9585,0.2095,-1.4691,-0.5499,0.5795,105,106,10.8755,10.0209,10.6856,10.4153,14.9,14.9,14.23,14.59,-0.7708,0.6854,0.6464,0.1418,NA,NA,22473
2004,361.27,344.03,548.77,328.17,143.18,143.56,130.88,118.17,0.2095,-1.4691,-0.5499,0.5795,1.4929,89,108,9.8277,9.8868,11.4399,10.9288,15.4,14.23,14.59,12.85,0.6464,0.1418,-0.7706,-0.3327,29201,22473,NA
2005,594.47,548.77,328.17,657.16,131.31,130.88,118.17,145.5,-1.4691,-0.5499,0.5795,1.4929,0.6406,106,71,9.8366,9.88,10.3891,10.7022,14.9,14.59,12.85,13.74,-0.7706,-0.3327,-0.6672,1.041,18299,NA,NA
2006,344.03,328.17,657.16,407.21,143.56,118.17,145.5,131.83,-0.5499,0.5795,1.4929,0.6406,1.2896,108,36,9.3697,10.0229,9.4146,11.0777,14.23,12.85,13.74,13.63,-0.6672,1.041,0.2904,1.3181,NA,NA,NA
2007,548.77,657.16,407.21,653.76,130.88,145.5,131.83,123.9,0.5795,1.4929,0.6406,1.2896,0.7896,71,67,10.0951,9.2363,10.899,10.7757,14.59,13.74,13.63,14.46,0.2904,1.3181,1.2835,1.3032,22473,NA,NA
2008,328.17,407.21,653.76,435.57,118.17,131.83,123.9,136.25,1.4929,0.6406,1.2896,0.7896,1.4227,36,99,9.3757,10.1971,10.3999,11.0575,12.85,13.63,14.46,14.15,1.2835,1.3032,-0.4549,-0.0731,NA,NA,NA
2009,657.16,653.76,435.57,577.82,145.5,123.9,136.25,146.61,0.6406,1.2896,0.7896,1.4227,0.3632,67,90,9.8057,9.4297,10.902,10.9911,13.74,14.46,14.15,14.83,-0.4549,-0.0731,0.554,0.4179,NA,NA,NA
2010,407.21,435.57,577.82,355.85,131.83,136.25,146.61,144.19,1.2896,0.7896,1.4227,0.3632,-0.1964,99,114,9.0293,10.5284,10.8797,10.1196,13.63,14.15,14.83,14.67,0.554,0.4179,0.79,-1.1787,NA,NA,21267
